,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,escrow,product_link,vendor_link,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR
1693,20gr  Pure Uncut Cocaine  90%-92%     ((  GET  2GR,"NL  → WW, EU",20,90,0.524,0.0262,0.0291111111,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=101819.650076,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdam2015,amsterdam2015,620,4.84,NL,"WW, EU",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1061,14G PERUVIAN FISH SCALE COCAINE 90% PURE,"US  → US, WW",14,90,0.52,0.0371428571,0.0412698413,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=608593.593794,http://lchudifyeqm4ldjj.onion/contactMember?member=norcoking,norcoking,840,4.87,US,"US, WW",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1658,20G COCAINE 89% - STRAIGHT FROM THE BRICK-,NL  → EU,20,89,0.515,0.02575,0.0289325843,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=915891.326756,http://lchudifyeqm4ldjj.onion/contactMember?member=0ldamsterdamm,0ldamsterdamm,620,4.94,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1660,20G COCAINE FLAKES 90% -JULY PROMO-,NL  → EU,20,90,0.515,0.02575,0.0286111111,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=140099.959687,http://lchudifyeqm4ldjj.onion/contactMember?member=GreyGooseGlobal,GreyGooseGlobal,230,4.87,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1710,25 G COCAINE 92%+,"DE  → EU, WW",25,92,0.515,0.0206,0.0223913044,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=953850.853931,http://lchudifyeqm4ldjj.onion/contactMember?member=FD-TOPSERVICE,FD-TOPSERVICE,80,4.88,DE,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4145,cocaine (flakes 86% pure) 25 gram,NL  → WW,25,86,0.515,0.0206,0.0239534884,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=401397.26812,http://lchudifyeqm4ldjj.onion/contactMember?member=rgnl,rgnl,300,4.91,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4309,★ 20 GR Colombian Cocaine UNCUT 90% ★,"NL  → EU, WW",20,90,0.515,0.02575,0.0286111111,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=124154.73917,http://lchudifyeqm4ldjj.onion/contactMember?member=JoeyDalton,JoeyDalton,60,5,NL,"EU, WW",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,28g Pure Cocain 84% High quality .SUPER DEAL!!,NL  → EU,28,84,0.514,0.0183571429,0.0218537415,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=840277.584687,http://lchudifyeqm4ldjj.onion/contactMember?member=pablopablito,pablopablito,230,4.72,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1800,25G Crystal Cocaine 88% Colombian Quality,"DE  → DE, NL",25,88,0.51,0.0204,0.0231818182,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=831573.785216,http://lchudifyeqm4ldjj.onion/contactMember?member=DrogenAusNiederlande,DrogenAusNiederlande,150,4.94,DE,"DE, NL",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4590,✪ 20gr - Cocaine Pure 89% ✪,"FR  → FR, EU",20,89,0.51,0.0255,0.0286516854,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=653776.816502,http://lchudifyeqm4ldjj.onion/contactMember?member=DarknetFR,DarknetFR,1,5,FR,"FR, EU",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1175,15G COCAINE (Peru)AAA+++ 90% Flakes Fishscale,"DE  → WW, DE",15,90,0.502,0.0334666667,0.0371851852,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=826947.375858,http://lchudifyeqm4ldjj.onion/contactMember?member=Naturalminds,Naturalminds,490,4.97,DE,"WW, DE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1695,20gr A+ COCAINE CRYSTAL 90% purity,NL  → WW,20,90,0.502,0.0251,0.0278888889,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=694051.493507,http://lchudifyeqm4ldjj.onion/contactMember?member=MRexclusive,MRexclusive,140,4.99,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1731,25 gr PERUVIAN 94%,"DE  → DE, WW",25,94,0.502,0.02008,0.0213617021,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=330327.495093,http://lchudifyeqm4ldjj.onion/contactMember?member=BVB09ARMY,BVB09ARMY,60,4.55,DE,"DE, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1035,14G  UNCUT COLOMBIAN COCAINE 93-96% PURE-WASH TO,"GB  → GB, IE",14,96,0.498,0.0355714286,0.0370535714,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=143192.993126,http://lchudifyeqm4ldjj.onion/contactMember?member=drugkingz,drugkingz,200,4.89,GB,"GB, IE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2330,30G PURE QUALITY COLOMBIAN COCAINE 93%,WW  → WW,30,93,0.498,0.0166,0.0178494624,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=543081.341159,http://lchudifyeqm4ldjj.onion/contactMember?member=Topstore,Topstore,80,4.94,WW,WW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1674,"20GR Top quality Cocaine  from PERU, 91% purity",NL  → WW,20,91,0.497,0.02485,0.0273076923,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=167190.170937,http://lchudifyeqm4ldjj.onion/contactMember?member=ING-BANK,ING-BANK,110,4.94,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1827,25gr  Great Quality Cocaine  70%-75%,"NL  → WW, EU",25,70,0.497,0.01988,0.0284,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=873548.985700,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdam2015,amsterdam2015,620,4.84,NL,"WW, EU",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1624,20 GRAM COCAINE FISHSCALE PURE FLAKE 90% ***PROMOT,NL  → EU,20,90,0.494,0.0247,0.0274444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=321461.191825,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdamflex,amsterdamflex,180,4.88,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1654,20G  Cocaine 90%+ Pure  Uncut Colombian,EU  → EU,20,90,0.494,0.0247,0.0274444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=922723.497743,http://lchudifyeqm4ldjj.onion/contactMember?member=stoneisland,stoneisland,130,5,EU,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1675,20g - AH Special Snow White Cocaine - 90% Pure,EU  → WW,20,90,0.494,0.0247,0.0274444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=515641.93996,http://lchudifyeqm4ldjj.onion/contactMember?member=AlbertHeijn,AlbertHeijn,60,4.98,EU,WW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1043,14G CLEAN COLOMBIAN COCAINE 91% 🔥 [UK2WW],GB  → WW,14,91,0.493,0.0352142857,0.0386970173,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=859917.166235,http://lchudifyeqm4ldjj.onion/contactMember?member=ukwhite,ukwhite,190,4.88,GB,WW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1661,20G Cocain 90%+ Pure Flakes Uncut Colombian,NL  → EU,20,90,0.489,0.02445,0.0271666667,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=532005.627776,http://lchudifyeqm4ldjj.onion/contactMember?member=supercoop,supercoop,720,4.96,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1671,20GR Cocaine 90% Peru for 950 Euro,"DE  → DE, WW",20,90,0.489,0.02445,0.0271666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=98451.815619,http://lchudifyeqm4ldjj.onion/contactMember?member=Kleinanzeigen,Kleinanzeigen,600,4.85,DE,"DE, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1724,25 GRAMS COLOMBIAN COCAINE 93% + FREE SHIPPING,"DE  → EU, WW",25,93,0.489,0.01956,0.0210322581,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=949956.812251,http://lchudifyeqm4ldjj.onion/contactMember?member=medicalzNL,medicalzNL,100,4.78,DE,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4552,♣INTRO♣ 15G COCAINE Flakes Uncut 90%,DE  → WW,15,90,0.487,0.0324666667,0.0360740741,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=178859.563120,http://lchudifyeqm4ldjj.onion/contactMember?member=sky-high,sky-high,290,4.98,DE,WW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1633,20 gram Uncut Cocaine 86%,NL  → WW,20,86,0.484,0.0242,0.0281395349,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=302021.36435,http://lchudifyeqm4ldjj.onion/contactMember?member=AmsterdamQuality,AmsterdamQuality,100,4.95,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,28G TOP QUALITY SOCIABLE COCAINE-65% PURE-NDD-LTD,"GB  → GB, IE",28,65,0.481,0.0171785714,0.0264285714,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=235489.203148,http://lchudifyeqm4ldjj.onion/contactMember?member=drugkingz,drugkingz,200,4.89,GB,"GB, IE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1700,20gr PURE COCAINE 89-91%    ******LIMITED TIME DIS,NL  → WW,20,91,0.479,0.02395,0.0263186813,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=858798.993024,http://lchudifyeqm4ldjj.onion/contactMember?member=Aliexpressss,Aliexpressss,310,4.74,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1045,14G COLOMBIAN FISHSCALE COCAINE-92-97% PURE,GB  → GB,14,97,0.475,0.0339285714,0.0349779087,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=43620.107852,http://lchudifyeqm4ldjj.onion/contactMember?member=superdrugz,superdrugz,280,4.94,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,28g 87% PERUVIAN UNCUT COCAINE FREE SHIP!,US  → US,28,87,0.475,0.0169642857,0.019499179,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=37953.260050,http://lchudifyeqm4ldjj.onion/contactMember?member=jefe1392,jefe1392,110,4.84,US,US,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1670,20GR COCAINE 90%,NL  → EU,20,90,0.473,0.02365,0.0262777778,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=388819.244481,http://lchudifyeqm4ldjj.onion/contactMember?member=Mister-Molly,Mister-Molly,90,4.63,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1107,14g Gram of 93% Peruvian Flake Cocaine 10/10 A++,"GB  → GB, WW",14,93,0.469,0.0335,0.0360215054,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=7351.501593,http://lchudifyeqm4ldjj.onion/contactMember?member=MRSMILEYS,MRSMILEYS,270,4.91,GB,"GB, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,**JULY 2017** 28G of MK1 (50%) *Columbiana,GB  → EU,28,50,0.466,0.0166428571,0.0332857143,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=331463.422203,http://lchudifyeqm4ldjj.onion/contactMember?member=LONDON-UNDERGROUND,LONDON-UNDERGROUND,140,4.87,GB,EU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1147,15 G Cocaine Uncut-81.88% !!,FR  → WW,15,81.88,0.463,0.0308666667,0.0376974434,0,http://lchudifyeqm4ldjj.onion/viewProduct?offer=592614.155261,http://lchudifyeqm4ldjj.onion/contactMember?member=lyso,lyso,17,5,FR,WW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
